epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.687,1.60139,1.3656,1.54631,0.4806,0.5271,0.41749,0.20571,1.77951,1.95071,1.67861,0.0700161,0.00333154,0.00333154
2,712.873,1.53811,1.18971,1.49191,0.57288,0.59749,0.50171,0.26844,1.60551,2.03472,1.53086,0.0399721,0.00662089,0.00662089
3,1043.14,1.48709,1.10037,1.44893,0.57508,0.62412,0.51602,0.27717,1.57703,1.57593,1.52397,0.00988414,0.00986623,0.00986623
4,1386.59,1.44715,1.03081,1.41435,0.64072,0.68999,0.59464,0.34316,1.48941,1.42473,1.45208,0.009802,0.009802,0.009802
5,1745.19,1.42414,0.97386,1.39175,0.62897,0.72813,0.60435,0.34574,1.45637,1.40966,1.39381,0.009736,0.009736,0.009736
6,2065.77,1.39555,0.93638,1.36698,0.66404,0.72642,0.63422,0.37417,1.44685,1.34773,1.40012,0.00967,0.00967,0.00967
7,2410.76,1.3895,0.90773,1.3587,0.65477,0.72617,0.61852,0.3701,1.43358,1.30852,1.38074,0.009604,0.009604,0.009604
8,2759.61,1.36865,0.88153,1.34356,0.64367,0.75362,0.63748,0.38007,1.39094,1.32361,1.36679,0.009538,0.009538,0.009538
9,3108.17,1.36766,0.87136,1.34257,0.67523,0.76369,0.66026,0.40316,1.39735,1.26548,1.36494,0.009472,0.009472,0.009472
10,3477.04,1.35375,0.86006,1.33299,0.67184,0.78432,0.67065,0.41123,1.38662,1.25444,1.34264,0.009406,0.009406,0.009406
11,3791.8,1.33579,0.83797,1.31941,0.67657,0.77612,0.65927,0.40296,1.3941,1.26034,1.35782,0.00934,0.00934,0.00934
12,4130.51,1.33215,0.82867,1.31347,0.69157,0.79276,0.67871,0.41466,1.40634,1.22336,1.34932,0.009274,0.009274,0.009274
13,4479.15,1.32482,0.82222,1.30612,0.68948,0.80204,0.68665,0.4273,1.37652,1.20963,1.32904,0.009208,0.009208,0.009208
14,4832.09,1.32415,0.81401,1.30733,0.67876,0.79488,0.68391,0.42984,1.33868,1.20456,1.30691,0.009142,0.009142,0.009142
15,5184.45,1.31349,0.80426,1.29724,0.70399,0.80674,0.69358,0.43511,1.36257,1.18182,1.32567,0.009076,0.009076,0.009076
16,5523.65,1.31072,0.79665,1.29568,0.69529,0.80665,0.69804,0.4466,1.33686,1.16831,1.30381,0.00901,0.00901,0.00901
17,5864.84,1.30168,0.79576,1.29434,0.68954,0.8078,0.69174,0.44168,1.33357,1.1711,1.30306,0.008944,0.008944,0.008944
18,6215.38,1.29956,0.78741,1.28785,0.69183,0.81649,0.69029,0.44567,1.32155,1.18053,1.28505,0.008878,0.008878,0.008878
19,6567.58,1.29072,0.78174,1.28436,0.70639,0.80627,0.69534,0.4482,1.30889,1.15381,1.28752,0.008812,0.008812,0.008812
20,6920.73,1.28941,0.77777,1.27904,0.69647,0.80934,0.69334,0.44714,1.33173,1.18242,1.29955,0.008746,0.008746,0.008746
